SchemeCode,AMC,SchemeName,ISIN,ISINdivReinvestment,SchemeType,Category
105556,Sundaram Mutual Fund,Sundaram Low Duration Fund Regular Plan - Weekly Income Distribution cum Capital Withdrawal (IDCW),,,Open Ended Schemes,Debt Scheme - Low Duration Fund
105557,Sundaram Mutual Fund,Sundaram Low Duration Fund Regular Plan - Fortnightly Income Distribution cum Capital Withdrawal (IDCW),,,Open Ended Schemes,Debt Scheme - Low Duration Fund
105558,Sundaram Mutual Fund,Sundaram Low Duration Fund Regular Plan - Quarterly Income Distribution cum Capital Withdrawal (IDCW),,,Open Ended Schemes,Debt Scheme - Low Duration Fund
105559,Sundaram Mutual Fund,Sundaram Low Duration Fund  Inst Weekly  Dividend,,,143611;-;INF192K01DU7;JM Low Duration Fund,Direct
105560,Sundaram Mutual Fund,Sundaram Low Duration Fund Inst Fortnightly  Dividend,,,143611;-;INF192K01DU7;JM Low Duration Fund,Direct
105561,Sundaram Mutual Fund,Sundaram Low Duration Fund Institutional Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),,,Open Ended Schemes,Debt Scheme - Low Duration Fund
105562,Sundaram Mutual Fund,Sundaram Low Duration Fund Institutional Plan - Growth,,,Open Ended Schemes,Debt Scheme - Low Duration Fund
105563,Sundaram Mutual Fund,Sundaram Low Duration Fund Regular Plan - Growth,,,Open Ended Schemes,Debt Scheme - Low Duration Fund
105564,Sundaram Mutual Fund,Sundaram Low Duration Fund Retail Plan - Growth,,,Open Ended Schemes,Debt Scheme - Low Duration Fund
105565,Sundaram Mutual Fund,Sundaram Low Duration Fund Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),,,Open Ended Schemes,Debt Scheme - Low Duration Fund
105566,Sundaram Mutual Fund,Sundaram Low Duration Fund Regular Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),,,Open Ended Schemes,Debt Scheme - Low Duration Fund
105567,Deutsche Mutual Fund,DWS FIXED TERM FUND SERIES 31 Div,,,Close Ended Schemes,Income
105568,Deutsche Mutual Fund,DWS FIXED TERM FUND SERIES 31 -gr,,,Close Ended Schemes,Income
105569,Deutsche Mutual Fund,DWS FIXED TERM FUND SERIES 29-Div,,,Close Ended Schemes,Income
105570,Deutsche Mutual Fund,DWS FIXED TERM FUND SERIES 29 Gr,,,Close Ended Schemes,Income
105571,DSP Mutual Fund,DSP BlackRock Fixed Term Plan Series 1K - Regular Plan - Growth,,,Close Ended Schemes,Income
105572,DSP Mutual Fund,DSP BlackRock Fixed Term Plan Series 1K - Regular Plan - Dividend,,,Close Ended Schemes,Income
105574,DSP Mutual Fund,DSP BlackRock Fixed Term Plan Series 1K - Institutional Plan - Growth,,,Close Ended Schemes,Income
105575,DSP Mutual Fund,DSP BlackRock Fixed Term Plan Series 1K - Institutional Plan - Dividend,,,Close Ended Schemes,Income
105576,DBS Chola Mutual Fund,DBS Chola Hedged Equity Fund - Dividend,,,Open Ended Schemes,Income
105577,DBS Chola Mutual Fund,DBS Chola Hedged Equity Fund - Cumulative,,,Open Ended Schemes,Income
105578,UTI Mutual Fund,UTI Ultra Short to Short Term Fund - Regular Plan - Discontinued Periodic Dividend Plan,,INF789F01349,Open Ended Schemes,Income/Debt Oriented Schemes - Ultra Short to Short Term Fund
105579,ABN  AMRO Mutual Fund,    ABN AMRO Fixed Term Plan - Series 5: Quarterly Plan A - Monthly Dividend Option,,,Close Ended Schemes,Income
105580,ABN  AMRO Mutual Fund,    ABN AMRO Fixed Term Plan - Series 5: Quarterly Plan A-Growth Option,,,Close Ended Schemes,Income
105581,ABN  AMRO Mutual Fund,    ABN AMRO Fixed Term Plan - Series 5: Quarterly Plan A - Dividend on Maturity Option,,,Close Ended Schemes,Income
105582,JPMorgan Mutual Fund,JPMorgan India Equity Fund - Regular Plan - Growth Option,,,Open Ended Schemes,Income
105583,JPMorgan Mutual Fund,JPMorgan India Equity Fund - Regular Plan - Dividend Option,,,Open Ended Schemes,Income
105584,Aditya Birla Sun Life Mutual Fund,Birla Fixed Term Plan - Series V - RETAIL DIVIDEND,,,Close Ended Schemes,Income
105585,Aditya Birla Sun Life Mutual Fund,Birla Fixed Term Plan - Series V - RETAIL GROWTH,,,Close Ended Schemes,Income
105586,UTI Mutual Fund,UTI Fixed Maturity Plan Quarterly April 2007 Series  II - Dividend Option,,,Close Ended Schemes,Income
105587,UTI Mutual Fund,UTI Fixed Maturity Plan Quarterly April 2007 Series  II - Growth Option,,,Close Ended Schemes,Income
105588,JM Financial Mutual Fund,JM Fixed Maturity Fund - Series IV - 15 Months Plan 2 ( JM FMF - IV - 15M2 ) Regular Plan - Growth option,,,Close Ended Schemes,Income
105589,JM Financial Mutual Fund,JM Fixed Maturity Fund - Series IV - 15 Months Plan 2 ( JM FMF - IV - 15M2 ) Regular Plan - Dividend option,,,Close Ended Schemes,Income
105590,UTI Mutual Fund,UTI Fixed Maturity Plan Quarterly April 2007 Series  II - Institutional Dividend Option,,,Close Ended Schemes,Income
105591,UTI Mutual Fund,UTI Fixed Maturity Plan Quarterly April 2007 Series  II - Institutional Growth Option,,,Close Ended Schemes,Income
105592,JM Financial Mutual Fund,JM Fixed Maturity Fund - Series V - Quarterly Plan 2 ( JM FMF - V - Q2 ) Regular Plan - Growth option,,,Close Ended Schemes,Income
105593,JM Financial Mutual Fund,JM Fixed Maturity Fund - Series V - Quarterly Plan 2 ( JM FMF - V - Q2 ) Institutional Plan - Growth option,,,Close Ended Schemes,Income
105594,JM Financial Mutual Fund,JM Fixed Maturity Fund - Series V - Quarterly Plan 2 ( JM FMF - V - Q2 ) Regular Plan - Dividend option,,,Close Ended Schemes,Income
105595,JM Financial Mutual Fund,JM Fixed Maturity Fund - Series V - Quarterly Plan 2 ( JM FMF - V - Q2 ) Institutional Plan - Dividend option,,,Close Ended Schemes,Income
105596,JM Financial Mutual Fund,JM Fixed Maturity Fund - Series IV - 15 Months Plan 2 ( JM FMF - IV - 15M2 ) Institutional Plan - Growth option,,,Close Ended Schemes,Income
105597,JM Financial Mutual Fund,JM Fixed Maturity Fund - Series IV - 15 Months Plan 2 ( JM FMF - IV - 15M2 ) Institutional Plan - Dividend option,,,Close Ended Schemes,Income
105598,PineBridge Mutual Fund,PineBridge India Equity Fund- Standard Plan- Growth Option,,,Open Ended Schemes,Income
105599,PineBridge Mutual Fund,PineBridge India Equity Fund- Institutional Plan- Growth Option,,,Open Ended Schemes,Income
105600,PineBridge Mutual Fund,PineBridge India Equity Fund- Standard Plan- Dividend Option,,,Open Ended Schemes,Income
105601,PineBridge Mutual Fund,PineBridge India Equity Fund- Institutional Plan- Dividend Option,,,Open Ended Schemes,Income
105602,ICICI Prudential Mutual Fund,ICICI Prudential Infrastructure Fund - Institutional Option - I - Growth,,,Open Ended Schemes,Income
105603,Invesco Mutual Fund,Invesco India Arbitrage Fund - Regular Plan - Growth,INF205K01122,,Open Ended Schemes,Hybrid Schemes - Arbitrage Fund
105604,Invesco Mutual Fund,Invesco India Arbitrage Fund - Regular Plan - IDCW,INF205K01148,INF205K01130,Open Ended Schemes,Hybrid Schemes - Arbitrage Fund
105605,UTI Mutual Fund,UTI Ultra Short to Short Term Fund - Regular Plan - Daily IDCW (Reinvestment),,INF789F01ON2,Open Ended Schemes,Income/Debt Oriented Schemes - Ultra Short to Short Term Fund
105606,LIC Mutual Fund,LICMF FIXED MATURITY PLAN SERIES 23 - DIVIDEND OPTION,,,Close Ended Schemes,Income
105607,LIC Mutual Fund,LICMF FIXED MATURITY PLAN SERIES 23 - GROWTH OPTION,,,Close Ended Schemes,Income
105608,LIC Mutual Fund,LICMF FIXED MATURITY PLAN SERIES 22 - DIVIDEND OPTION,,,Close Ended Schemes,Income
105609,LIC Mutual Fund,LICMF FIXED MATURITY PLAN SERIES 22 - GROWTH OPTION,,,Close Ended Schemes,Income
105610,LIC Mutual Fund,LICMF FIXED MATURITY PLAN SERIES 24 - DIVIDEND OPTION,,,Close Ended Schemes,Income
105611,LIC Mutual Fund,LICMF FIXED MATURITY PLAN SERIES 24 - GROWTH OPTION,,,Close Ended Schemes,Income
105612,SBI Mutual Fund,SBI DEBT FUND SERIES -180 DAYS-6-GROWTH  (26/4/07),,,Close Ended Schemes,Income
105613,SBI Mutual Fund,SBI DEBT FUND SERIES -180 DAYS-6-DIVIDEND  (26/4/07),,,Close Ended Schemes,Income
105614,Aditya Birla Sun Life Mutual Fund,Birla Sun Life Floating Rate Fund-Long Term - Retail Plan-Weekly Dividend,,,Open Ended Schemes,Income
105615,Reliance Mutual Fund,Reliance Fixed Horizon Fund-III-Annual Plan- Series-V-Retail Plan Growth Option,,,Close Ended Schemes,Income
105616,Reliance Mutual Fund,Reliance Fixed Horizon Fund-III-Annual Plan- Series-V-Retail Plan-Dividend Option,,,Close Ended Schemes,Income
105617,Reliance Mutual Fund,Reliance Fixed Horizon Fund-III-Annual Plan- Series-V-Institutional Plan-Growth Option,,,Close Ended Schemes,Income
105619,ING Mutual Fund,ING Multi Manager Equity Fund - Option A- Dividend(Payout and Reinvestment),,,Open Ended Schemes,Income
105620,ING Mutual Fund,ING Multi Manager Equity Fund - Option A- Growth,,,Open Ended Schemes,Income
105621,Tata Mutual Fund,Tata Fixed Horizon Fund Series 10 Scheme H - Regular Plan - Growth,,,Close Ended Schemes,Income
105622,Tata Mutual Fund,Tata Fixed Horizon Fund Series 10 Scheme H - Institutional Plan - Growth,,,Close Ended Schemes,Income
105623,Standard Chartered Mutual Fund,Standard Chartered Fixed Maturity Plan - QS 10 - Plan A - Dividend,,,Close Ended Schemes,Income
105624,Standard Chartered Mutual Fund,Standard Chartered Fixed Maturity Plan - QS 10 - Plan A - Growth,,,Close Ended Schemes,Income
