SchemeCode,AMC,SchemeName,ISIN,SchemeType,Category,SubCategory,PlanType,PlanOption,IDCW_Frequency
115659,UTI Mutual Fund,UTI-FTIF Sr. X Plan III (370 Days) - Growth Option,,Close Ended,Income,Income,Other,Growth,
115660,UTI Mutual Fund,UTI-FTIF Sr. X Plan IV (369 Days) - Growth Option,,Close Ended,Income,Income,Other,Growth,
115661,UTI Mutual Fund,UTI-FTIF Sr. X Plan IV (369 Days) - Dividend Option,,Close Ended,Income,Income,Other,IDCW,
115662,ICICI Prudential Mutual Fund,ICICI Prudential Fixed Maturity Plan - Series 58 - 2 Year Plan E Cumulative,,Close Ended,Income,Income,Other,Other,
115663,ICICI Prudential Mutual Fund,ICICI Prudential Fixed Maturity Plan - Series 58 - 2 Year Plan E Dividend,,Close Ended,Income,Income,Other,IDCW,
115664,DSP Mutual Fund,DSP BlackRock FMP - Series 5 - 3M-Growth,,Close Ended,Income,Income,Other,Growth,
115665,DSP Mutual Fund,DSP BlackRock FMP - Series 5 - 3M- Dividend,,Close Ended,Income,Income,Other,IDCW,
115666,DSP Mutual Fund,DSP BlackRock FMP - Series 6 - 12M - Growth,,Close Ended,Income,Income,Other,Growth,
115667,DSP Mutual Fund,DSP BlackRock FMP - Series 6 - 12M - Dividend,,Close Ended,Income,Income,Other,IDCW,
115668,Deutsche Mutual Fund,DWS Fixed Term Fund - Series 88- Dividend (Payout and Sweep),,Close Ended,Income,Income,Other,IDCW,
115669,Deutsche Mutual Fund,DWS Fixed Term Fund - Series 88- Growth,,Close Ended,Income,Income,Other,Growth,
115670,HDFC Mutual Fund,HDFC FMP 92D August 2011 (1) - Dividend Option,,Close Ended,Income,Income,Other,IDCW,
115671,HDFC Mutual Fund,HDFC FMP 92D August 2011 (1) - Growth Option,,Close Ended,Income,Income,Other,Growth,
115672,DSP Mutual Fund,DSP BlackRock FMP - Series 7 - 12M - Growth Option,,Close Ended,Income,Income,Other,Growth,
115673,DSP Mutual Fund,DSP BlackRock FMP - Series 7 - 12M - Dividend Option,,Close Ended,Income,Income,Other,IDCW,
115674,ICICI Prudential Mutual Fund,ICICI Prudential Fixed Maturity Plan - Series 59 - 1 Year Plan C Cumulative,,Close Ended,Income,Income,Other,Other,
115675,ICICI Prudential Mutual Fund,ICICI Prudential Fixed Maturity Plan - Series 59 - 1 Year Plan C Dividend,,Close Ended,Income,Income,Other,IDCW,
115676,SBI Mutual Fund,SBI GOLD FUND,INF200K01HA1,Open Ended,Other,FoF Domestic,Other,Other,
115677,SBI Mutual Fund,SBI GOLD FUND,INF200K01HB9,Open Ended,Other,FoF Domestic,Other,Other,
115680,Tata Mutual Fund,TFMP Series 36 B Growth,,Close Ended,Income,Income,Other,Growth,
115681,Tata Mutual Fund,TFMP Series 36 B Periodic Dividend Payout Option,,Close Ended,Income,Income,Other,IDCW,
115682,Tata Mutual Fund,TFMP 38 A Growth Option,,Close Ended,Income,Income,Other,Growth,
115683,Tata Mutual Fund,TFMP 38 A Periodic Dividend Option,,Close Ended,Income,Income,Other,IDCW,
115684,ICICI Prudential Mutual Fund,ICICI Prudential Fixed Maturity Plan - Series 58 - 2 Year Plan D Cumulative,,Close Ended,Income,Income,Other,Other,
115685,ICICI Prudential Mutual Fund,ICICI Prudential Fixed Maturity Plan - Series 58 - 2 Year Plan D Dividend,,Close Ended,Income,Income,Other,IDCW,
115686,ICICI Prudential Mutual Fund,ICICI Prudential Multiple Yield Fund-Plan D Dividend,,Close Ended,Income,Income,Other,IDCW,
115687,ICICI Prudential Mutual Fund,ICICI Prudential Multiple Yield Fund-Plan D Cumulative,,Close Ended,Income,Income,Other,Other,
115688,Reliance Mutual Fund,Reliance Fixed Horizon Fund - XX - Series 4 - Dividend Payout Option,,Close Ended,Income,Income,Other,IDCW,
115689,Reliance Mutual Fund,Reliance Fixed Horizon Fund - XX - Series 4 - Growth Option,,Close Ended,Income,Income,Other,Growth,
115690,Reliance Mutual Fund,Reliance Fixed Horizon Fund - XX - Series 11 - Dividend Payout Option,,Close Ended,Income,Income,Other,IDCW,
115691,Reliance Mutual Fund,Reliance Fixed Horizon Fund - XX - Series 11 - Growth Option,,Close Ended,Income,Income,Other,Growth,
115692,DSP Mutual Fund,DSP BlackRock FMP - 6M - Series 11 - Growth Option,,Close Ended,Income,Income,Other,Growth,
115693,DSP Mutual Fund,DSP BlackRock FMP - 6M - Series 11 - Dividend Option,,Close Ended,Income,Income,Other,IDCW,
115694,Kotak Mahindra Mutual Fund,Kotak FMP Series 56 (370 Days) - Dividend,,Close Ended,Income,Income,Other,IDCW,
115695,Kotak Mahindra Mutual Fund,Kotak FMP Series 56 (370 Days) - Growth,,Close Ended,Income,Income,Other,Growth,
115696,Tata Mutual Fund,Tata Fixed Tenure Fund Series 2 Scheme B -Dividend Payout,,Close Ended,Income,Income,Other,IDCW,
115697,Tata Mutual Fund,Tata Fixed Tenure Fund Series 2 Scheme B- Growth,,Close Ended,Income,Income,Other,Growth,
115698,DSP Mutual Fund,DSP BlackRock FMP - Series 8 - 3M - Growth Option,,Close Ended,Income,Income,Other,Growth,
115699,DSP Mutual Fund,DSP BlackRock FMP - Series 8 - 3M - Dividend Option,,Close Ended,Income,Income,Other,IDCW,
115700,ICICI Prudential Mutual Fund,ICICI Prudential Fixed Maturity Plan - Series 57 - 3 Year Plan A Dividend,,Close Ended,Income,Income,Other,IDCW,
115701,ICICI Prudential Mutual Fund,ICICI Prudential Fixed Maturity Plan - Series 57 - 3 Year Plan A Cumulative,,Close Ended,Income,Income,Other,Other,
115702,DHFL Pramerica Mutual Fund,DHFL Pramerica Short Term Income Fund - Quarterly Dividend Opt,,Open Ended,Income,Income,Other,IDCW,Quarterly
115703,UTI Mutual Fund,UTI-FTIF Sr. X Plan V (369 Days) - Growth Option,,Close Ended,Income,Income,Other,Growth,
115704,UTI Mutual Fund,UTI-FTIF Sr. X Plan V (369 Days) - Dividend Option,,Close Ended,Income,Income,Other,IDCW,
115705,Axis Mutual Fund,Axis Hybrid Fund - Series 2 - Growth Option,,Close Ended,Income,Income,Other,Growth,
115706,Axis Mutual Fund,Axis Hybrid Fund - Series 2 - Dividend Option,,Close Ended,Income,Income,Other,IDCW,
115707,Aditya Birla Sun Life Mutual Fund,Birla Sun Life Capital Protection Oriented Fund-Series 7-Growth,,Close Ended,Income,Income,Other,Growth,
115708,PRINCIPAL Mutual Fund,Principal Pnb Maturity Plan - Series A1-Dividend Option,,Close Ended,Income,Income,Other,IDCW,
115709,PRINCIPAL Mutual Fund,Principal Pnb Fixed Maturity Plan - Series A1-Growth Option,,Close Ended,Income,Income,Other,Growth,
115710,Deutsche Mutual Fund,DWS Fixed Term Fund - Series 89 -Growth,,Close Ended,Income,Income,Other,Growth,
115711,Deutsche Mutual Fund,DWS Fixed Term Fund - Series 89 (DFTF - 89)- Dividend (Payout and Sweep),,Close Ended,Income,Income,Other,IDCW,
115712,Sundaram Mutual Fund,Sundaram Fixed Term Plan -BJ- Dividend Payout Option,,Close Ended,Income,Income,Other,IDCW,
115713,Sundaram Mutual Fund,Sundaram Fixed Term Plan -BJ- Growth Option,,Close Ended,Income,Income,Other,Growth,
115714,Sundaram Mutual Fund,Sundaram Fixed Term Plan -BF- Growth Option,,Close Ended,Income,Income,Other,Growth,
115715,Sundaram Mutual Fund,Sundaram Fixed Term Plan -BF- Dividend Payout Option,,Close Ended,Income,Income,Other,IDCW,
115716,Sundaram Mutual Fund,Sundaram Fixed Term Plan -BG- Dividend Payout Option,,Close Ended,Income,Income,Other,IDCW,
115717,Sundaram Mutual Fund,Sundaram Fixed Term Plan -BG- Growth Option,,Close Ended,Income,Income,Other,Growth,
115718,Sundaram Mutual Fund,Sundaram Fixed Term Plan -BH- Dividend Payout Option,,Close Ended,Income,Income,Other,IDCW,
115719,Sundaram Mutual Fund,Sundaram Fixed Term Plan -BH- Growth Option,,Close Ended,Income,Income,Other,Growth,
115720,Sundaram Mutual Fund,Sundaram Capital Protection Oriented Fund 2 Years (Series 3) - Dividend Payout Option,,Close Ended,Income,Income,Other,IDCW,
115721,Sundaram Mutual Fund,Sundaram Capital Protection Oriented Fund 2 Years (Series 3) - Growth Option,,Close Ended,Income,Income,Other,Growth,
