SchemeCode,AMC,SchemeName,ISIN,ISINdivReinvestment,SchemeType,Category,SchemeNameCleaned,SchemeMinimumAmount,LaunchDate,ClosureDate
150451,ICICI Prudential Asset Management Company Limited,ICICI Prudential Nifty 200 Momentum 30 Index Fund - IDCW,INF109KC19C3,INF109KC10D0,Open Ended,Other Scheme - Index Funds,ICICI Prudential Nifty 200 Momentum 30 Index Fund,5000,22-Jul-2022,
150452,ICICI Prudential Asset Management Company Limited,ICICI Prudential Nifty 200 Momentum 30 Index Fund - Direct Plan - Growth,INF109KC11D8,,Open Ended,Other Scheme - Index Funds,ICICI Prudential Nifty 200 Momentum 30 Index Fund,5000,22-Jul-2022,
150455,ICICI Prudential Asset Management Company Limited,ICICI Prudential Nifty 200 Momentum 30 ETF,INF109KC17C7,,Open Ended,Other Scheme - Other  ETFs,ICICI Prudential Nifty 200 Momentum 30 ETF,1000,22-Jul-2022,
150459,SBI Funds Management Limited,SBI Fixed Maturity Plan (FMP) - Series 67 (1467 Days) - Regular Plan - IDCW Payout,INF200KA14M4,,Close Ended,Income,SBI Fixed Maturity Plan (FMP) - Series 67 (1467 Days),5000,21-Jul-2022,
150460,SBI Funds Management Limited,SBI Fixed Maturity Plan (FMP) - Series 67 (1467 Days) - Direct Plan - Growth,INF200KA15M1,,Close Ended,Income,SBI Fixed Maturity Plan (FMP) - Series 67 (1467 Days),5000,21-Jul-2022,
150461,SBI Funds Management Limited,SBI Fixed Maturity Plan (FMP) - Series 67 (1467 Days) - Regular Plan - Growth,INF200KA13M6,,Close Ended,Income,SBI Fixed Maturity Plan (FMP) - Series 67 (1467 Days),5000,21-Jul-2022,
150458,SBI Funds Management Limited,SBI Fixed Maturity Plan (FMP) - Series 67 (1467 Days) - Direct Plan - IDCW Payout,INF200KA16M9,,Close Ended,Income,SBI Fixed Maturity Plan (FMP) - Series 67 (1467 Days),5000,21-Jul-2022,
150466,ICICI Prudential Asset Management Company Limited,ICICI Prudential Nifty IT Index Fund - Growth,INF109KC10E8,,Open Ended,Other Scheme - Index Funds,ICICI Prudential Nifty IT Index Fund,1000,28-Jul-2022,
150467,ICICI Prudential Asset Management Company Limited,ICICI Prudential Nifty IT Index Fund - IDCW,INF109KC11E6,INF109KC12E4,Open Ended,Other Scheme - Index Funds,ICICI Prudential Nifty IT Index Fund,1000,28-Jul-2022,
150468,ICICI Prudential Asset Management Company Limited,ICICI Prudential Nifty IT Index Fund - Direct Plan - Growth,INF109KC13E2,,Open Ended,Other Scheme - Index Funds,ICICI Prudential Nifty IT Index Fund,1000,28-Jul-2022,
150469,ICICI Prudential Asset Management Company Limited,ICICI Prudential Nifty IT Index Fund - Direct Plan - IDCW,INF109KC14E0,INF109KC15E7,Open Ended,Other Scheme - Index Funds,ICICI Prudential Nifty IT Index Fund,1000,28-Jul-2022,
150470,Mirae Asset Investment Managers (India) Pvt. Ltd,Mirae Asset Balanced Advantage Fund - Direct Plan - Growth,INF769K01IN6,,Open Ended,Hybrid Schemes - Balanced Advantage Fund/ Dynamic Asset Allocation,Mirae Asset Balanced Advantage Fund,5000,21-Jul-2022,
150471,Mirae Asset Investment Managers (India) Pvt. Ltd,Mirae Asset Balanced Advantage Fund - Direct Plan - IDCW,INF769K01IM8,INF769K01IO4,Open Ended,Hybrid Schemes - Balanced Advantage Fund/ Dynamic Asset Allocation,Mirae Asset Balanced Advantage Fund,5000,21-Jul-2022,
150473,Mirae Asset Investment Managers (India) Pvt. Ltd,Mirae Asset Balanced Advantage Fund - Regular Plan - Growth,INF769K01IK2,,Open Ended,Hybrid Schemes - Balanced Advantage Fund/ Dynamic Asset Allocation,Mirae Asset Balanced Advantage Fund,5000,21-Jul-2022,
150474,Mirae Asset Investment Managers (India) Pvt. Ltd,Mirae Asset Balanced Advantage Fund - Regular Plan - IDCW,INF769K01IJ4,INF769K01IL0,Open Ended,Hybrid Schemes - Balanced Advantage Fund/ Dynamic Asset Allocation,Mirae Asset Balanced Advantage Fund,5000,21-Jul-2022,
150476,HDFC Asset Management Company Limited,HDFC NIFTY 100 ETF - Growth Option,INF179KC1HR4,,Open Ended,Other Scheme - Other  ETFs,HDFC NIFTY 100 ETF,500,25-Jul-2022,01-Aug-2022
150477,HDFC Asset Management Company Limited,HDFC NIFTY NEXT 50 ETF - Growth Option,INF179KC1HS2,,Open Ended,Other Scheme - Other  ETFs,HDFC NIFTY NEXT 50 ETF,500,25-Jul-2022,01-Aug-2022
150478,Franklin Templeton Asset Management (India) Private Limited,Franklin India Balanced Advantage Fund- IDCW,INF090I01WO0,INF090I01WP7,Open Ended,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,Franklin India Balanced Advantage Fund,5000,16-Aug-2022,
150479,Franklin Templeton Asset Management (India) Private Limited,Franklin India Balanced Advantage Fund- IDCW- Direct,INF090I01WR3,INF090I01WS1,Open Ended,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,Franklin India Balanced Advantage Fund,5000,16-Aug-2022,
150480,Franklin Templeton Asset Management (India) Private Limited,Franklin India Balanced Advantage Fund- Growth,INF090I01WN2,,Open Ended,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,Franklin India Balanced Advantage Fund,5000,16-Aug-2022,
150481,Franklin Templeton Asset Management (India) Private Limited,Franklin India Balanced Advantage Fund- Growth- Direct,INF090I01WQ5,,Open Ended,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,Franklin India Balanced Advantage Fund,5000,16-Aug-2022,
150482,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Long Term Fund-Regular Growth,INF209KB14J9,,Open Ended,Income/Debt Oriented Schemes - Long Term Fund,Aditya Birla Sun Life Long Term Fund,100,22-Jul-2022,
150483,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Long Term Fund-Regular IDCW Payout,INF209KB15J6,INF209KB16J4,Open Ended,Income/Debt Oriented Schemes - Long Term Fund,Aditya Birla Sun Life Long Term Fund,100,22-Jul-2022,
150484,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Long Term Fund-Direct Growth,INF209KB17J2,,Open Ended,Income/Debt Oriented Schemes - Long Term Fund,Aditya Birla Sun Life Long Term Fund,100,22-Jul-2022,
150485,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Long Term Fund-Direct IDCW Payout,INF209KB18J0,INF209KB19J8,Open Ended,Income/Debt Oriented Schemes - Long Term Fund,Aditya Birla Sun Life Long Term Fund,100,22-Jul-2022,
150487,Nippon Life India Asset Management Limited,Nippon India Nifty Alpha Low Volatility 30 Index Fund - Direct Plan - Growth Option,INF204KC1584,,Open Ended,Other Scheme - Index Funds,Nippon India Nifty Alpha Low Volatility 30 Index Fund,Rs.1000 and in multiples of Re.1 thereafter,01-Aug-2022,
150488,Nippon Life India Asset Management Limited,Nippon India Nifty Alpha Low Volatility 30 Index Fund - Direct Plan - IDCW Option,INF204KC1592,,Open Ended,Other Scheme - Index Funds,Nippon India Nifty Alpha Low Volatility 30 Index Fund,Rs.1000 and in multiples of Re.1 thereafter,01-Aug-2022,
150490,Nippon Life India Asset Management Limited,Nippon India Nifty Alpha Low Volatility 30 Index Fund - Regular Plan - Growth Option,INF204KC1550,,Open Ended,Other Scheme - Index Funds,Nippon India Nifty Alpha Low Volatility 30 Index Fund,Rs.1000 and in multiples of Re.1 thereafter,01-Aug-2022,
150491,Nippon Life India Asset Management Limited,Nippon India Nifty Alpha Low Volatility 30 Index Fund - Regular Plan - IDCW Option,INF204KC1568,,Open Ended,Other Scheme - Index Funds,Nippon India Nifty Alpha Low Volatility 30 Index Fund,Rs.1000 and in multiples of Re.1 thereafter,01-Aug-2022,
150492,Kotak Mahindra Asset Management Company Limited.,Kotak Nifty India Consumption ETF,INF174KA1ZF8,,Open Ended,Other Scheme - Other  ETFs,Kotak Nifty India Consumption ETF,5000,25-Jul-2022,
150497,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Nifty 200 Quality 30 ETF,INF209KB15K4,,Open Ended,Exchange Traded Funds (ETFs) - Equity ETF,Aditya Birla Sun Life Nifty 200 Quality 30 ETF,100,29-Jul-2022,
150498,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Nifty 200 Momentum 30 ETF,INF209KB14K7,,Open Ended,Other Scheme - Other  ETFs,Aditya Birla Sun Life Nifty 200 Momentum 30 ETF,100,29-Jul-2022,
150503,Canara Robeco Asset Management Company Limited,Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option,INF760K01KF7,,Open Ended,Income/Debt Oriented Schemes - Banking and PSU Debt Fund,Canara Robeco Banking and PSU Debt Fund,Rs. 5000/-,29-Jul-2022,12-Aug-2022
150504,Canara Robeco Asset Management Company Limited,Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment),INF760K01KH3,INF760K01KG5,Open Ended,Income/Debt Oriented Schemes - Banking and PSU Debt Fund,Canara Robeco Banking and PSU Debt Fund,Rs. 5000/-,29-Jul-2022,12-Aug-2022
150505,Canara Robeco Asset Management Company Limited,Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,INF760K01KC4,,Open Ended,Income/Debt Oriented Schemes - Banking and PSU Debt Fund,Canara Robeco Banking and PSU Debt Fund,Rs. 5000/-,29-Jul-2022,12-Aug-2022
150507,Canara Robeco Asset Management Company Limited,Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout,INF760K01KE0,INF760K01KD2,Open Ended,Income/Debt Oriented Schemes - Banking and PSU Debt Fund,Canara Robeco Banking and PSU Debt Fund,Rs. 5000/-,29-Jul-2022,12-Aug-2022
150511,Trust Asset Management Private Limited,TRUSTMF MONEY MARKET FUND-REGULAR PLAN-GROWTH,INF0GCD01479,,Open Ended,Debt Scheme - Money Market Fund,TRUSTMF Money Market Fund,1000,05-Aug-2022,
150512,Trust Asset Management Private Limited,TRUSTMF MONEY MARKET FUND-REGULAR PLAN-MONTHLY IDCW,INF0GCD01495,INF0GCD01487,Open Ended,Debt Scheme - Money Market Fund,TRUSTMF Money Market Fund,1000,05-Aug-2022,
150513,Trust Asset Management Private Limited,TRUSTMF MONEY MARKET FUND-DIRECT PLAN-GROWTH,INF0GCD01503,,Open Ended,Debt Scheme - Money Market Fund,TRUSTMF Money Market Fund,1000,05-Aug-2022,
150514,Trust Asset Management Private Limited,TRUSTMF MONEY MARKET FUND-DIRECT PLAN-MONTHLY IDCW,INF0GCD01529,INF0GCD01511,Open Ended,Debt Scheme - Money Market Fund,TRUSTMF Money Market Fund,1000,05-Aug-2022,
150515,Navi AMC Limited,Navi Nifty India Manufacturing Index Fund- Direct Plan- Growth,INF959L01GD6,,Open Ended,Other Scheme - Index Funds,Navi Nifty India Manufacturing Index Fund,Rs. 100/-,12-Aug-2022,23-Aug-2022
150516,Navi AMC Limited,Navi Nifty India Manufacturing Index Fund- Regular Plan- Growth,INF959L01GE4,,Open Ended,Other Scheme - Index Funds,Navi Nifty India Manufacturing Index Fund,Rs. 100/-,12-Aug-2022,23-Aug-2022
150517,Motilal Oswal Asset Management Company Limited,Motilal Oswal BSE Enhanced Value ETF,INF247L01BE5,,Open Ended,Other Scheme - Other  ETFs,Motilal Oswal BSE Enhanced Value ETF,Rs. 500/- and in multiples of Re. 1/- thereafter.,29-Jul-2022,05-Aug-2022
150518,Motilal Oswal Asset Management Company Limited,Motilal Oswal BSE Enhanced Value Index Fund-Direct plan,INF247L01BF2,,Open Ended,Other Scheme - Index Funds,Motilal Oswal BSE Enhanced Value Index Fund,Rs. 500/- and in multiples of Re. 1/- thereafter.,29-Jul-2022,05-Aug-2022
