SchemeCode,AMC,SchemeName,ISIN,ISINdivReinvestment,SchemeType,Category,SchemeNameCleaned,SchemeMinimumAmount,LaunchDate,ClosureDate
100033,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,INF209K01165,,Open Ended,Equity Scheme - Large & Mid Cap Fund,Aditya Birla Sun Life Large & Mid Cap Fund,5000,24-Feb-1995,24-Feb-1995
100034,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Large & Mid Cap Fund -Regular - IDCW,INF209K01157,INF209K01CE5,Open Ended,Equity Scheme - Large & Mid Cap Fund,Aditya Birla Sun Life Large & Mid Cap Fund,5000,24-Feb-1995,24-Feb-1995
119433,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Large & Mid Cap Fund -Direct - IDCW,INF209K01VG0,INF209K01VI6,Open Ended,Equity Scheme - Large & Mid Cap Fund,Aditya Birla Sun Life Large & Mid Cap Fund,5000,24-Feb-1995,24-Feb-1995
119436,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Large & Mid Cap Fund - Growth - Direct Plan,INF209K01VH8,,Open Ended,Equity Scheme - Large & Mid Cap Fund,Aditya Birla Sun Life Large & Mid Cap Fund,5000,24-Feb-1995,24-Feb-1995
100037,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Medium to Long Term Fund - Regular - Quarterly IDCW,INF209K01587,INF209K01CY3,Open Ended,Income/Debt Oriented Schemes - Medium to Long Term Fund,Aditya Birla Sun Life Medium to Long Term Fund,5000,01-Jan-1994,01-Jan-1994
100038,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Medium to Long Term Fund - Growth - Regular Plan,INF209K01579,,Open Ended,Income/Debt Oriented Schemes - Medium to Long Term Fund,Aditya Birla Sun Life Medium to Long Term Fund,5000,01-Jan-1994,01-Jan-1994
100039,Aditya Birla Sun Life AMC Limited,Birla Income Plus-Institutional (Growth),,,Open Ended,Income/Debt Oriented Schemes - Medium to Long Term Fund,Aditya Birla Sun Life Medium to Long Term Fund,5000,01-Jan-1994,01-Jan-1994
100040,Aditya Birla Sun Life AMC Limited,Birla Income Plus-Institutional (Dividend),,,Open Ended,Income/Debt Oriented Schemes - Medium to Long Term Fund,Aditya Birla Sun Life Medium to Long Term Fund,5000,01-Jan-1994,01-Jan-1994
133445,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Medium to Long Term Fund - Regular - IDCW,INF209KA1WJ6,INF209KA1WK4,Open Ended,Income/Debt Oriented Schemes - Medium to Long Term Fund,Aditya Birla Sun Life Medium to Long Term Fund,5000,01-Jan-1994,01-Jan-1994
133446,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Medium to Long Term Fund - Direct - IDCW,INF209KA1WL2,INF209KA1WM0,Open Ended,Income/Debt Oriented Schemes - Medium to Long Term Fund,Aditya Birla Sun Life Medium to Long Term Fund,5000,01-Jan-1994,01-Jan-1994
111777,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Medium to Long Term Fund (Discipline Advantage Plan),INF209K01LD8,,Open Ended,Income/Debt Oriented Schemes - Medium to Long Term Fund,Aditya Birla Sun Life Medium to Long Term Fund,5000,01-Jan-1994,01-Jan-1994
119655,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Medium to Long Term Fund - Direct - Quarterly IDCW,INF209K01R13,INF209K01WZ8,Open Ended,Income/Debt Oriented Schemes - Medium to Long Term Fund,Aditya Birla Sun Life Medium to Long Term Fund,5000,01-Jan-1994,01-Jan-1994
119657,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Medium to Long Term Fund - Growth - Direct Plan,INF209K01WY1,,Open Ended,Income/Debt Oriented Schemes - Medium to Long Term Fund,Aditya Birla Sun Life Medium to Long Term Fund,5000,01-Jan-1994,01-Jan-1994
100041,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,INF209K01KN9,,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund,Rs. 500/- and in multiples of Re. 1/- thereafter,04-Jun-1997,07-Jun-1997
100042,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Liquid Fund-Retail (Growth),INF209K01ME4,,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund,Rs. 500/- and in multiples of Re. 1/- thereafter,04-Jun-1997,07-Jun-1997
100043,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Liquid Fund-Institutional (Growth),INF209K01RT1,,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund,Rs. 500/- and in multiples of Re. 1/- thereafter,04-Jun-1997,07-Jun-1997
100044,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Liquid Fund -Retail - IDCW,INF209K01KP4,,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund,Rs. 500/- and in multiples of Re. 1/- thereafter,04-Jun-1997,07-Jun-1997
100046,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Liquid Fund -Daily IDCW,INF209K01KQ2,INF209K01SQ5,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund,Rs. 500/- and in multiples of Re. 1/- thereafter,04-Jun-1997,07-Jun-1997
100047,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Liquid Fund - Growth,INF209K01RU9,,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund,Rs. 500/- and in multiples of Re. 1/- thereafter,04-Jun-1997,07-Jun-1997
112014,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Liquid Fund- Discipline Advantage Plan,INF209K01KZ3,,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund,Rs. 500/- and in multiples of Re. 1/- thereafter,04-Jun-1997,07-Jun-1997
119568,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Liquid Fund - Growth - Direct Plan,INF209K01VA3,,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund,Rs. 500/- and in multiples of Re. 1/- thereafter,04-Jun-1997,07-Jun-1997
119569,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Liquid Fund -Direct - daily IDCW,INF209K01UZ2,,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund,Rs. 500/- and in multiples of Re. 1/- thereafter,04-Jun-1997,07-Jun-1997
119570,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Liquid Fund -Direct - weekly IDCW,INF209K01VC9,,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund,Rs. 500/- and in multiples of Re. 1/- thereafter,04-Jun-1997,07-Jun-1997
119571,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Liquid Fund -DIRECT - IDCW,INF209K01VD7,,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund,Rs. 500/- and in multiples of Re. 1/- thereafter,04-Jun-1997,07-Jun-1997
100048,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Liquid Fund -Institutional - weekly  IDCW,INF209KA1LK7,INF209K01KY6,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund,Rs. 500/- and in multiples of Re. 1/- thereafter,04-Jun-1997,07-Jun-1997
100050,Aditya Birla Sun Life AMC Limited,Birla Cash Plus-Birla Cash Plus (Institutional Premium Weekly Dividend),,,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund,Rs. 500/- and in multiples of Re. 1/- thereafter,04-Jun-1997,07-Jun-1997
100051,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Liquid Fund -weekly IDCW,INF209K01KU4,INF209KA1LJ9,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund,Rs. 500/- and in multiples of Re. 1/- thereafter,04-Jun-1997,07-Jun-1997
103885,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Liquid Fund -Regular - IDCW,INF209KA1LI1,,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund,Rs. 500/- and in multiples of Re. 1/- thereafter,04-Jun-1997,07-Jun-1997
100057,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Gilt Fund -Regular - Quarterly IDCW,INF209K01AF6,INF209K01DP9,Open Ended,Income/Debt Oriented Schemes - Gilt Fund,Aditya Birla Sun Life Gilt Fund,5000,12-Oct-1999,12-Oct-1999
100058,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Gilt Fund  - Growth - Regular Plan,INF209K01AC3,INF209K01AD1,Open Ended,Income/Debt Oriented Schemes - Gilt Fund,Aditya Birla Sun Life Gilt Fund,5000,12-Oct-1999,12-Oct-1999
119605,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Gilt Fund - Growth - Direct Plan,INF209K01XP7,,Open Ended,Income/Debt Oriented Schemes - Gilt Fund,Aditya Birla Sun Life Gilt Fund,5000,12-Oct-1999,12-Oct-1999
119606,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Gilt Fund -DIRECT - Quarterly IDCW,INF209KA1LC4,INF209K01XR3,Open Ended,Income/Debt Oriented Schemes - Gilt Fund,Aditya Birla Sun Life Gilt Fund,5000,12-Oct-1999,12-Oct-1999
100063,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life MNC Fund - Regular - IDCW,INF209K01314,INF209K01CL0,Open Ended,Equity Scheme - Sectoral/ Thematic,Aditya Birla Sun Life MNC Fund,5000,16-Nov-1998,16-Nov-1998
100064,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life MNC Fund - Growth - Regular Plan,INF209K01322,,Open Ended,Equity Scheme - Sectoral/ Thematic,Aditya Birla Sun Life MNC Fund,5000,16-Nov-1998,16-Nov-1998
119646,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life MNC Fund - Growth - Direct Plan,INF209K01VT3,,Open Ended,Equity Scheme - Sectoral/ Thematic,Aditya Birla Sun Life MNC Fund,5000,16-Nov-1998,16-Nov-1998
119647,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life MNC Fund - DIRECT - IDCW,INF209K01Q06,INF209K01VU1,Open Ended,Equity Scheme - Sectoral/ Thematic,Aditya Birla Sun Life MNC Fund,5000,16-Nov-1998,16-Nov-1998
100077,DSP Asset Managers Private Limited,DSP Medium Term Fund - IDCW,INF740K01565,INF740K01995,Open Ended,Income/Debt Oriented Schemes - Medium Term Fund,DSP Medium Term Fund,Rs. 1000/  and any amount thereafter,07-Apr-1997,15-Apr-1997
100078,DSP Asset Managers Private Limited,DSP Medium Term Fund - Growth,INF740K01557,,Open Ended,Income/Debt Oriented Schemes - Medium Term Fund,DSP Medium Term Fund,Rs. 1000/  and any amount thereafter,07-Apr-1997,15-Apr-1997
100079,DSP Asset Managers Private Limited,DSP Medium Term Fund - IDCW - Monthly,INF740K01573,INF740K01AA1,Open Ended,Income/Debt Oriented Schemes - Medium Term Fund,DSP Medium Term Fund,Rs. 1000/  and any amount thereafter,07-Apr-1997,15-Apr-1997
118921,DSP Asset Managers Private Limited,DSP Medium Term Fund - Direct Plan - IDCW - Monthly,INF740K01NA4,INF740K01NC0,Open Ended,Income/Debt Oriented Schemes - Medium Term Fund,DSP Medium Term Fund,Rs. 1000/  and any amount thereafter,07-Apr-1997,15-Apr-1997
118922,DSP Asset Managers Private Limited,DSP Medium Term Fund - Direct Plan - IDCW,INF740K01NB2,INF740K01ND8,Open Ended,Income/Debt Oriented Schemes - Medium Term Fund,DSP Medium Term Fund,Rs. 1000/  and any amount thereafter,07-Apr-1997,15-Apr-1997
118924,DSP Asset Managers Private Limited,DSP Medium Term Fund - Direct Plan - Growth,INF740K01MZ3,,Open Ended,Income/Debt Oriented Schemes - Medium Term Fund,DSP Medium Term Fund,Rs. 1000/  and any amount thereafter,07-Apr-1997,15-Apr-1997
100080,DSP Asset Managers Private Limited,DSP Flexi Cap Fund - Regular Plan - IDCW,INF740K01011,INF740K01029,Open Ended,Equity Scheme - Flexi Cap Fund,DSP Flexi Cap Fund,Rs. 1000/  and any amount thereafter,04-Apr-1997,15-Apr-1997
105875,DSP Asset Managers Private Limited,DSP Flexi Cap Fund - Regular Plan - Growth,INF740K01037,,Open Ended,Equity Scheme - Flexi Cap Fund,DSP Flexi Cap Fund,Rs. 1000/  and any amount thereafter,04-Apr-1997,15-Apr-1997
119076,DSP Asset Managers Private Limited,DSP Flexi Cap Fund - Direct Plan - Growth,INF740K01PI2,,Open Ended,Equity Scheme - Flexi Cap Fund,DSP Flexi Cap Fund,Rs. 1000/  and any amount thereafter,04-Apr-1997,15-Apr-1997
119077,DSP Asset Managers Private Limited,DSP Flexi Cap Fund - Direct Plan - IDCW,INF740K01PJ0,INF740K01PK8,Open Ended,Equity Scheme - Flexi Cap Fund,DSP Flexi Cap Fund,Rs. 1000/  and any amount thereafter,04-Apr-1997,15-Apr-1997
100081,DSP Asset Managers Private Limited,DSP Aggressive Hybrid Fund- Regular Plan - Growth,INF740K01318,,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,DSP Aggressive Hybrid Fund,Rs. 1000/  and any amount thereafter,03-May-1999,14-May-1999
100082,DSP Asset Managers Private Limited,DSP Aggressive Hybrid Fund- Regular Plan - IDCW,INF740K01326,INF740K01334,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,DSP Aggressive Hybrid Fund,Rs. 1000/  and any amount thereafter,03-May-1999,14-May-1999
119019,DSP Asset Managers Private Limited,DSP Aggressive Hybrid Fund - Direct Plan - Growth,INF740K01NY4,,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,DSP Aggressive Hybrid Fund,Rs. 1000/  and any amount thereafter,03-May-1999,14-May-1999
119020,DSP Asset Managers Private Limited,DSP Aggressive Hybrid Fund - Direct Plan - IDCW,INF740K01NZ1,INF740K01OA2,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,DSP Aggressive Hybrid Fund,Rs. 1000/  and any amount thereafter,03-May-1999,14-May-1999
100084,DSP Asset Managers Private Limited,DSP Gilt Fund - Regular Plan - Growth,INF740K01615,,Open Ended,Debt Scheme - Gilt Fund,DSP Gilt Fund,Rs. 100/  and any amount thereafter,20-Sep-1999,23-Sep-1999
100085,DSP Asset Managers Private Limited,DSP Gilt Fund - Regular Plan - IDCW,INF740K01607,INF740K01AD5,Open Ended,Debt Scheme - Gilt Fund,DSP Gilt Fund,Rs. 100/  and any amount thereafter,20-Sep-1999,23-Sep-1999
100086,DSP Asset Managers Private Limited,DSP Gilt Fund - Regular Plan - IDCW - Monthly,INF740K01623,INF740K01AE3,Open Ended,Debt Scheme - Gilt Fund,DSP Gilt Fund,Rs. 100/  and any amount thereafter,20-Sep-1999,23-Sep-1999
119099,DSP Asset Managers Private Limited,DSP Gilt Fund - Direct Plan - Growth,INF740K01NF3,,Open Ended,Debt Scheme - Gilt Fund,DSP Gilt Fund,Rs. 100/  and any amount thereafter,20-Sep-1999,23-Sep-1999
119100,DSP Asset Managers Private Limited,DSP Gilt Fund - Direct Plan - IDCW - Monthly,INF740K01NE6,INF740K01NH9,Open Ended,Debt Scheme - Gilt Fund,DSP Gilt Fund,Rs. 100/  and any amount thereafter,20-Sep-1999,23-Sep-1999
119101,DSP Asset Managers Private Limited,DSP Gilt Fund - Direct Plan - IDCW,INF740K01NG1,INF740K01NI7,Open Ended,Debt Scheme - Gilt Fund,DSP Gilt Fund,Rs. 100/  and any amount thereafter,20-Sep-1999,23-Sep-1999
100087,DSP Asset Managers Private Limited,DSP Money Market Fund - Regular Plan - Growth,INF740K01714,,Open Ended,Income/Debt Oriented Schemes - Money Market Fund,DSP Money Market Fund,Rs. 1000/- & any amount thereafter,20-Sep-1999,23-Sep-1999
100088,DSP Asset Managers Private Limited,DSP Money Market Fund - Regular Plan - IDCW,INF740K01706,INF740K01AJ2,Open Ended,Income/Debt Oriented Schemes - Money Market Fund,DSP Money Market Fund,Rs. 1000/- & any amount thereafter,20-Sep-1999,23-Sep-1999
100089,DSP Asset Managers Private Limited,DSP Money Market Fund - Regular Plan - IDCW - Monthly,INF740K01722,INF740K01AK0,Open Ended,Income/Debt Oriented Schemes - Money Market Fund,DSP Money Market Fund,Rs. 1000/- & any amount thereafter,20-Sep-1999,23-Sep-1999
119106,DSP Asset Managers Private Limited,DSP Money Market Fund - Direct Plan - Growth,INF740K01NU2,,Open Ended,Income/Debt Oriented Schemes - Money Market Fund,DSP Money Market Fund,Rs. 1000/- & any amount thereafter,20-Sep-1999,23-Sep-1999
119107,DSP Asset Managers Private Limited,DSP Money Market Fund - Direct Plan - IDCW - Monthly,INF740K01NT4,INF740K01NW8,Open Ended,Income/Debt Oriented Schemes - Money Market Fund,DSP Money Market Fund,Rs. 1000/- & any amount thereafter,20-Sep-1999,23-Sep-1999
119108,DSP Asset Managers Private Limited,DSP Money Market Fund - Direct Plan - IDCW,INF740K01NV0,INF740K01NX6,Open Ended,Income/Debt Oriented Schemes - Money Market Fund,DSP Money Market Fund,Rs. 1000/- & any amount thereafter,20-Sep-1999,23-Sep-1999
123287,DSP Asset Managers Private Limited,DSP Money Market Fund - Regular Plan - IDCW - Daily,INF740KA1PC1,,Open Ended,Income/Debt Oriented Schemes - Money Market Fund,DSP Money Market Fund,Rs. 1000/- & any amount thereafter,20-Sep-1999,23-Sep-1999
123288,DSP Asset Managers Private Limited,DSP Money Market Fund - Direct Plan -  IDCW - Daily,INF740KA1PB3,,Open Ended,Income/Debt Oriented Schemes - Money Market Fund,DSP Money Market Fund,Rs. 1000/- & any amount thereafter,20-Sep-1999,23-Sep-1999
154425,DSP Asset Managers Private Limited,DSP Money Market Fund  - Regular Plan - IDCW Weekly,INF740KA1ZB2,INF740KA1ZC0,Open Ended,Income/Debt Oriented Schemes - Money Market Fund,DSP Money Market Fund,Rs. 1000/- & any amount thereafter,20-Sep-1999,23-Sep-1999
154426,DSP Asset Managers Private Limited,DSP Money Market Fund - Direct Plan - IDCW Weekly,INF740KA1ZD8,INF740KA1ZE6,Open Ended,Income/Debt Oriented Schemes - Money Market Fund,DSP Money Market Fund,Rs. 1000/- & any amount thereafter,20-Sep-1999,23-Sep-1999
103819,DSP Asset Managers Private Limited,DSP Large & Mid Cap Fund - Regular Plan - Growth,INF740K01094,,Open Ended,Equity Scheme - Large & Mid Cap Fund,DSP Large & Mid Cap Fund,Rs. 1000/  and any amount thereafter,11-Mar-2000,18-Apr-2000
103820,DSP Asset Managers Private Limited,DSP Large & Mid Cap Fund - Regular Plan - IDCW,INF740K01078,INF740K01086,Open Ended,Equity Scheme - Large & Mid Cap Fund,DSP Large & Mid Cap Fund,Rs. 1000/  and any amount thereafter,11-Mar-2000,18-Apr-2000
119218,DSP Asset Managers Private Limited,DSP Large & Mid Cap Fund - Direct Plan - Growth,INF740K01PL6,,Open Ended,Equity Scheme - Large & Mid Cap Fund,DSP Large & Mid Cap Fund,Rs. 1000/  and any amount thereafter,11-Mar-2000,18-Apr-2000
119219,DSP Asset Managers Private Limited,DSP Large & Mid Cap Fund - Direct Plan - IDCW,INF740K01PM4,INF740K01PN2,Open Ended,Equity Scheme - Large & Mid Cap Fund,DSP Large & Mid Cap Fund,Rs. 1000/  and any amount thereafter,11-Mar-2000,18-Apr-2000
100119,HDFC Asset Management Company Limited,HDFC Balanced Advantage Fund - Growth Plan,INF179K01830,,Open Ended,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,HDFC Balanced Advantage Fund,For new investors  Rs.5000 For existing Rs. 1000,20-Jul-2000,10-Aug-2000
100120,HDFC Asset Management Company Limited,HDFC Balanced Advantage Fund - IDCW Plan,INF179K01814,INF179K01822,Open Ended,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,HDFC Balanced Advantage Fund,For new investors  Rs.5000 For existing Rs. 1000,20-Jul-2000,10-Aug-2000
118968,HDFC Asset Management Company Limited,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,INF179K01WA6,,Open Ended,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,HDFC Balanced Advantage Fund,For new investors  Rs.5000 For existing Rs. 1000,20-Jul-2000,10-Aug-2000
118969,HDFC Asset Management Company Limited,HDFC Balanced Advantage Fund - IDCW Plan - Direct Plan,INF179K01VY8,INF179K01VZ5,Open Ended,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,HDFC Balanced Advantage Fund,For new investors  Rs.5000 For existing Rs. 1000,20-Jul-2000,10-Aug-2000
100123,HDFC Asset Management Company Limited,HDFC Medium to Long Term Fund - Quarterly IDCW Option,INF179K01947,INF179K01954,Open Ended,Income/Debt Oriented Schemes - Medium to Long Term Fund,HDFC Medium to Long Term Fund,REFER SID,11-Sep-2000,
100124,HDFC Asset Management Company Limited,HDFC Income Fund - Growth Option,INF179K01962,,Open Ended,Income/Debt Oriented Schemes - Medium to Long Term Fund,HDFC Medium to Long Term Fund,REFER SID,11-Sep-2000,
100125,HDFC Asset Management Company Limited,HDFC Income Fund-Premium Plan Dividend,,,Open Ended,Income/Debt Oriented Schemes - Medium to Long Term Fund,HDFC Medium to Long Term Fund,REFER SID,11-Sep-2000,
100126,HDFC Asset Management Company Limited,HDFC Income Fund-Premium Plus Dividend,,,Open Ended,Income/Debt Oriented Schemes - Medium to Long Term Fund,HDFC Medium to Long Term Fund,REFER SID,11-Sep-2000,
100127,HDFC Asset Management Company Limited,HDFC Income Fund-Premium Plus Growth,,,Open Ended,Income/Debt Oriented Schemes - Medium to Long Term Fund,HDFC Medium to Long Term Fund,REFER SID,11-Sep-2000,
100128,HDFC Asset Management Company Limited,HDFC Income Fund-Premium Plan Growth,,,Open Ended,Income/Debt Oriented Schemes - Medium to Long Term Fund,HDFC Medium to Long Term Fund,REFER SID,11-Sep-2000,
133365,HDFC Asset Management Company Limited,HDFC Medium to Long Term Fund - Normal IDCW - Direct Plan,INF179KA1Q12,,Open Ended,Income/Debt Oriented Schemes - Medium to Long Term Fund,HDFC Medium to Long Term Fund,REFER SID,11-Sep-2000,
133366,HDFC Asset Management Company Limited,HDFC Medium to Long Term Fund - Normal IDCW Option,INF179KA1Q38,,Open Ended,Income/Debt Oriented Schemes - Medium to Long Term Fund,HDFC Medium to Long Term Fund,REFER SID,11-Sep-2000,
100129,HDFC Asset Management Company Limited,HDFC Income Fund-Premium Plus Growth,,,Open Ended,Income/Debt Oriented Schemes - Medium to Long Term Fund,HDFC Medium to Long Term Fund,REFER SID,11-Sep-2000,
100130,HDFC Asset Management Company Limited,HDFC Income Fund-Premium Plus Dividend,,,Open Ended,Income/Debt Oriented Schemes - Medium to Long Term Fund,HDFC Medium to Long Term Fund,REFER SID,11-Sep-2000,
119068,HDFC Asset Management Company Limited,HDFC Medium to Long Term Fund - Quarterly IDCW- Direct Plan,INF179K01WJ7,INF179K01WK5,Open Ended,Income/Debt Oriented Schemes - Medium to Long Term Fund,HDFC Medium to Long Term Fund,REFER SID,11-Sep-2000,
119069,HDFC Asset Management Company Limited,HDFC Medium to Long Term Fund - Growth Option - Direct Plan,INF179K01WL3,,Open Ended,Income/Debt Oriented Schemes - Medium to Long Term Fund,HDFC Medium to Long Term Fund,REFER SID,11-Sep-2000,
100174,quant Money Managers Limited,quant ELSS Tax Saver Fund - IDCW Option - Regular Plan,INF966L01119,,Open Ended,Equity Scheme - ELSS,Quant ELSS Tax Saver Fund,Rs. 5000/-,08-Mar-2000,31-Mar-2000
100175,quant Money Managers Limited,quant ELSS Tax Saver Fund - Growth Option - Regular Plan,INF966L01135,,Open Ended,Equity Scheme - ELSS,Quant ELSS Tax Saver Fund,Rs. 5000/-,08-Mar-2000,31-Mar-2000
120846,quant Money Managers Limited,quant ELSS Tax Saver Fund - IDCW Option - Direct Plan,INF966L01960,INF966L01127,Open Ended,Equity Scheme - ELSS,Quant ELSS Tax Saver Fund,Rs. 5000/-,08-Mar-2000,31-Mar-2000
120847,quant Money Managers Limited,quant ELSS Tax Saver Fund - Growth Option - Direct Plan,INF966L01986,,Open Ended,Equity Scheme - ELSS,Quant ELSS Tax Saver Fund,Rs. 5000/-,08-Mar-2000,31-Mar-2000
100176,quant Money Managers Limited,quant Small Cap Fund - IDCW Option - Regular Plan,INF206A01022,INF966L01044,Open Ended,Equity Scheme - Small Cap Fund,Quant Small Cap Fund,Rs. 5000/-,23-Sep-1996,30-Oct-1996
100177,quant Money Managers Limited,quant Small Cap Fund - Growth - Regular Plan,INF966L01AA0,,Open Ended,Equity Scheme - Small Cap Fund,Quant Small Cap Fund,Rs. 5000/-,23-Sep-1996,30-Oct-1996
120827,quant Money Managers Limited,quant Small Cap Fund - IDCW Option - Direct Plan,INF966L01663,INF966L01671,Open Ended,Equity Scheme - Small Cap Fund,Quant Small Cap Fund,Rs. 5000/-,23-Sep-1996,30-Oct-1996
120828,quant Money Managers Limited,quant Small Cap Fund - Growth Option - Direct Plan,INF966L01689,,Open Ended,Equity Scheme - Small Cap Fund,Quant Small Cap Fund,Rs. 5000/-,23-Sep-1996,30-Oct-1996
100218,JM Financial Asset Management Limited,JM Large Cap Fund (Regular) - IDCW ,INF192K01585,INF192K01593,Open Ended,Equity Schemes - Large Cap Fund,JM Large Cap Fund,Rs. 1000/- and in multiples of Re. 1 thereafter.,01-Apr-1995,
100219,JM Financial Asset Management Limited,JM Large Cap Fund (Regular) - Growth Option,INF192K01601,,Open Ended,Equity Schemes - Large Cap Fund,JM Large Cap Fund,Rs. 1000/- and in multiples of Re. 1 thereafter.,01-Apr-1995,
134960,JM Financial Asset Management Limited,JM Large Cap Fund (Direct) - Quarterly IDCW,INF192K01JN9,INF192K01JO7,Open Ended,Equity Schemes - Large Cap Fund,JM Large Cap Fund,Rs. 1000/- and in multiples of Re. 1 thereafter.,01-Apr-1995,
134961,JM Financial Asset Management Limited,JM Large Cap Fund (Regular) - Annual IDCW,INF192K01JS8,INF192K01JT6,Open Ended,Equity Schemes - Large Cap Fund,JM Large Cap Fund,Rs. 1000/- and in multiples of Re. 1 thereafter.,01-Apr-1995,
134954,JM Financial Asset Management Limited,JM Large Cap Fund (Regular) - Quarterly IDCW,INF192K01JL3,INF192K01JM1,Open Ended,Equity Schemes - Large Cap Fund,JM Large Cap Fund,Rs. 1000/- and in multiples of Re. 1 thereafter.,01-Apr-1995,
134955,JM Financial Asset Management Limited,JM Large Cap Fund (Regular) - Half Yearly IDCW,INF192K01JP4,INF192K01JQ2,Open Ended,Equity Schemes - Large Cap Fund,JM Large Cap Fund,Rs. 1000/- and in multiples of Re. 1 thereafter.,01-Apr-1995,
134956,JM Financial Asset Management Limited,JM Large Cap Fund (Direct) - Monthly IDCW ,INF192K01JJ7,INF192K01JK5,Open Ended,Equity Schemes - Large Cap Fund,JM Large Cap Fund,Rs. 1000/- and in multiples of Re. 1 thereafter.,01-Apr-1995,
134957,JM Financial Asset Management Limited,JM Large Cap Fund (Direct) - Half Yearly IDCW ,INF192K01JR0,INF192K01JZ3,Open Ended,Equity Schemes - Large Cap Fund,JM Large Cap Fund,Rs. 1000/- and in multiples of Re. 1 thereafter.,01-Apr-1995,
134958,JM Financial Asset Management Limited,JM Large Cap Fund (Direct) - Annual IDCW,INF192K01JU4,INF192K01JV2,Open Ended,Equity Schemes - Large Cap Fund,JM Large Cap Fund,Rs. 1000/- and in multiples of Re. 1 thereafter.,01-Apr-1995,
134959,JM Financial Asset Management Limited,JM Large Cap Fund (Regular) - Monthly IDCW,INF192K01JH1,INF192K01JI9,Open Ended,Equity Schemes - Large Cap Fund,JM Large Cap Fund,Rs. 1000/- and in multiples of Re. 1 thereafter.,01-Apr-1995,
